comment_id,selected_fold,true_label,comment_text_original,video_id,brand_or_video_context,text_cluster_id,cv_group_id,model_id,seed,argmax_label,argmax_confidence,probability_negative,probability_neutral,probability_positive,threshold_selected_positive_threshold,threshold_selected_abstention_threshold,predicted_label,prediction_confidence,error_type,komentar_terlalu_pendek,dukungan_implisit,pertanyaan_positif,testimoni,promosi,negasi,sarkasme,emoji,mixed_language,konteks_video_diperlukan,konflik_anotasi,teks_tidak_cukup,taxonomy_flags
5245494283788784464,4,Positive,"akhirnya nemu azarine retinol yang cocok, gak bikin breakout sama sekali",7586827398084136200,azarine_retinol,text_cluster_00013,comment:5245494283788784464,ensemble_top3_seed_probability_average,top3:42;52;62,Negative,0.41720053992148376,0.4171992329450944,0.38282111940653696,0.19997964764836865,0.3,0.4,Negative,0.4171992329450944,Positive_to_Negative,False,False,False,False,False,True,False,False,False,False,False,False,negasi
5823062342045730092,5,Positive,"kulit aku kombinasi tapi daviena retinol tetep nyaman, gak lengket",7378347819268082950,daviena_retinol,text_cluster_00012,dup:text_cluster_00012,ensemble_top3_seed_probability_average,top3:42;52;62,Negative,0.4230279386487724,0.42302834950552715,0.28572990320952246,0.2912417472849504,0.3,0.4,Negative,0.42302834950552715,Positive_to_Negative,False,False,False,False,False,True,False,False,False,False,False,False,negasi
7168754499258401538,1,Positive,"Pakai serum dari inby skincare aja ka untuk kulit sensitif, kering dan normal, sudah BPOM dan HALAL, aku juga pakai serum dari @inby skincare official",7129446710400601371,The Originote,text_cluster_00033,comment:7168754499258401538,ensemble_top3_seed_probability_average,top3:42;52;62,Neutral,0.6865889088409143,0.13375260664918132,0.6865890034180269,0.17965838993279185,0.3,0.4,Neutral,0.6865890034180269,Positive_to_Neutral,False,False,False,False,False,True,False,False,True,False,False,False,negasi;mixed_language
7189422561767588635,1,Positive,ga ada kak aku makai kok enak bngt🥰 kalo ad yg ga cocok sama Niacidemide rekomen bngt buat dipake,7185096421220158747,Azarine,text_cluster_00053,comment:7189422561767588635,ensemble_top3_seed_probability_average,top3:42;52;62,Negative,0.4368383685894321,0.43683787710249183,0.38472640323794643,0.17843571965956173,0.3,0.4,Negative,0.43683787710249183,Positive_to_Negative,False,False,False,False,False,True,False,True,False,False,False,False,negasi;emoji
7205794801386767130,2,Positive,buat kulit berminyak cocok bgt sama azarin jadi lebih mate ga gampang minyakan apalgi kl pg nya pake niacin jadi makin bgs ke muka😅,7185096421220158747,Azarine,text_cluster_00069,comment:7205794801386767130,ensemble_top3_seed_probability_average,top3:42;52;62,Neutral,0.4426415041121419,0.2694582868725954,0.44264273350556743,0.28789897962183714,0.3,0.4,Neutral,0.44264273350556743,Positive_to_Neutral,False,False,False,False,False,True,False,True,False,False,False,False,negasi;emoji
7209497283485598490,2,Positive,"kalo purging tergantung cocok²an ya klo di aku ga ada purging samsek, bisa juga klo emng lagi berjerawat. klo aku pakenya skintific yg biru.",7185096421220158747,Azarine,text_cluster_00083,comment:7209497283485598490,ensemble_top3_seed_probability_average,top3:42;52;62,Neutral,0.421824632486212,0.3185891795716121,0.42182592096185,0.25958489946653795,0.3,0.4,Neutral,0.42182592096185,Positive_to_Neutral,False,True,False,True,False,True,False,True,True,False,False,False,dukungan_implisit;testimoni;negasi;emoji;mixed_language
7292203062491874053,3,Positive,"Cerah, lbh gak gampang jerawat sm pbh glowing",7289028668863663365,Daviena,text_cluster_00164,comment:7292203062491874053,ensemble_top3_seed_probability_average,top3:42;52;62,Neutral,0.4261348487399252,0.25359186794313066,0.4261347092654109,0.32027342279145843,0.3,0.4,Neutral,0.4261347092654109,Positive_to_Neutral,False,False,False,True,False,True,False,False,True,True,False,False,testimoni;negasi;mixed_language;konteks_video_diperlukan
7312070282369745666,2,Positive,"aman kok,sy juga pake moist skintific baru pake retinol",7312025661835578629,daviena_retinol,text_cluster_00183,comment:7312070282369745666,ensemble_top3_seed_probability_average,top3:42;52;62,Neutral,0.4028650018470063,0.3980806222003579,0.40286636239031787,0.1990530154093242,0.3,0.4,Neutral,0.40286636239031787,Positive_to_Neutral,False,False,False,False,False,True,False,False,True,False,False,False,negasi;mixed_language
7312078235625718534,4,Neutral,aku juga pakai seglowing ini,7312025661835578629,daviena_retinol,text_cluster_00184,comment:7312078235625718534,ensemble_top3_seed_probability_average,top3:42;52;62,Positive,0.7725644563739672,0.09745072226664264,0.12998427978513907,0.7725649979482183,0.3,0.4,Positive,0.7725649979482183,Neutral_to_Positive,True,False,False,True,False,True,False,False,True,True,False,False,komentar_terlalu_pendek;testimoni;negasi;mixed_language;konteks_video_diperlukan
7317156874541302533,2,Negative,"aku nyoba pagi vit c ,malam nya b3 bright serum, kenapa wajah jadi super kering ya? sampai setelah pake moist aja masih terasa tetep kering",7306081689422351622,The Originote,text_cluster_00211,comment:7317156874541302533,ensemble_top3_seed_probability_average,top3:42;52;62,Positive,0.3680049756365085,0.26497491323807254,0.3670211065471787,0.3680039802147488,0.3,0.4,Positive,0.3680039802147488,Negative_to_Positive,False,False,False,False,False,False,False,False,True,False,False,False,mixed_language
