id,label,degree,weighted_degree,betweenness,community,brand_label_auto
reviewjujur_ip2228,reviewjujur_ip2228,31,19.25,0.0005773209503339041,5,The Originote
skinlover_ip4667,skinlover_ip4667,31,19.125,0.0005931718901972116,5,The Originote
skinbestie_ip1027,skinbestie_ip1027,31,19.0,0.0005931718901972116,5,The Originote
skinclub_ip8942,skinclub_ip8942,31,19.0,0.0005931718901972116,5,The Originote
kulitglowing_ip9832,kulitglowing_ip9832,31,19.0,0.0005931718901972116,5,The Originote
skincare_ip7443,skincare_ip7443,31,19.0,0.0005931718901972116,5,The Originote
glowhunter_ip9119,glowhunter_ip9119,31,19.0,0.0005931718901972116,5,The Originote
kulitglowing_ip4767,kulitglowing_ip4767,31,19.0,0.0005931718901972116,5,The Originote
reviewjujur_ip204,reviewjujur_ip204,27,17.410714285714285,0.0007443222315595093,5,Non-HCC
glowhunter_ip6597,glowhunter_ip6597,27,17.410714285714285,0.000747096146035588,5,Non-HCC
beautyvibe_ip3082,beautyvibe_ip3082,27,17.410714285714285,0.0013157486136317475,5,Non-HCC
racun_ip3473,racun_ip3473,25,16.94642857142857,0.007253906959923332,5,Non-HCC
reviewjujur_ip6999,reviewjujur_ip6999,26,16.875,0.0003226872311955291,5,Non-HCC
skinlover_ip8042,skinlover_ip8042,26,16.875,0.0003226872311955291,5,Non-HCC
kulitglowing_ip9395,kulitglowing_ip9395,26,16.875,0.0003226872311955291,5,Non-HCC
beautyvibe_ip1727,beautyvibe_ip1727,26,16.875,0.0003226872311955291,5,Non-HCC
cantik_ip3598,cantik_ip3598,21,14.5,0.0,5,Non-HCC
skinbestie_ip5105,skinbestie_ip5105,21,14.375,1.2060497722081822e-07,5,Non-HCC
racun_ip6205,racun_ip6205,21,14.375,1.2060497722081822e-07,5,Non-HCC
glowup_ip5653,glowup_ip5653,21,14.375,1.2060497722081822e-07,5,Non-HCC
glowhunter_ip7986,glowhunter_ip7986,21,14.375,1.2060497722081822e-07,5,Non-HCC
skinclub_ip4711,skinclub_ip4711,21,14.375,1.2060497722081822e-07,5,Non-HCC
skinclub_ip8582,skinclub_ip8582,16,12.5,0.00013869572380394095,54,Azarine
skintok_ct62066,skintok_ct62066,17,12.375,0.003002883025332542,120,Non-HCC
