level,entity,hard_positive_share,hard_neutral_share,hard_negative_share,soft_positive_share,soft_neutral_share,soft_negative_share,absolute_positive_difference,aggregation_used_for_goal_orientation,notes
group,HCC,0.4306569343065693,0.35766423357664234,0.2116788321167883,0.40269004087389393,0.3389684565827303,0.25834150254337584,0.027966893432675388,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
group,Non-HCC,0.1932598833441348,0.494750486066105,0.3119896305897602,0.20595213354821135,0.44764158210761734,0.3464062843441713,0.01269225020407655,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,1,0.15,0.6,0.25,0.19258539736146302,0.4427521631540355,0.36466243948450155,0.04258539736146302,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,2,0.23529411764705882,0.47058823529411764,0.29411764705882354,0.1966560191353305,0.43265027055069444,0.370693710313975,0.03863809851172831,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,3,0.13333333333333333,0.6666666666666666,0.2,0.1480346338110502,0.5181801690951878,0.3337851970937619,0.014701300477716867,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,5,0.19642857142857142,0.5892857142857143,0.21428571428571427,0.18525939528857632,0.5382212357095435,0.2765193690018802,0.011169176139995102,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,14,0.3076923076923077,0.38461538461538464,0.3076923076923077,0.273925830357964,0.3953420341688273,0.3307321354732088,0.033766477334343736,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,15,0.16666666666666666,0.6111111111111112,0.2222222222222222,0.17291606096191914,0.49163727377570304,0.3354466652623779,0.006249394295252481,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,16,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.191359135509615,0.41381215644910063,0.39482870804128445,0.07530753115705166,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,17,0.2926829268292683,0.4634146341463415,0.24390243902439024,0.2579352801385926,0.45168579598067765,0.2903789238807297,0.03474764669067565,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,18,0.1875,0.375,0.4375,0.26960677911330433,0.33458078718115414,0.3958124337055415,0.08210677911330433,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,20,0.2631578947368421,0.3157894736842105,0.42105263157894735,0.17493676712367584,0.32778168838163674,0.4972815444946875,0.08822112761316625,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,34,0.18181818181818182,0.45454545454545453,0.36363636363636365,0.2329749202928424,0.40771223324755757,0.3593128464596001,0.05115673847466057,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,42,1.0,0.0,0.0,0.9642691302744388,0.01702036029978716,0.018710509425774003,0.035730869725561165,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,45,0.19047619047619047,0.7619047619047619,0.047619047619047616,0.15032553134538704,0.5539256348222608,0.2957488338323523,0.04015065913080343,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,46,0.1,0.45,0.45,0.158002086506559,0.4545611102949413,0.3874368031984997,0.058002086506559,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,48,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.23599246944728483,0.40453107368143587,0.3594764568712793,0.04972181626700087,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,49,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.21380122059017062,0.5289905207723585,0.2572082586374709,0.04713455392350396,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,50,0.2777777777777778,0.5,0.2222222222222222,0.23354440848262945,0.4158405346443476,0.35061505687302297,0.044233369295148345,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,52,0.34210526315789475,0.34210526315789475,0.3157894736842105,0.32752782873900643,0.33109066182730157,0.341381509433692,0.014577434418888313,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,54,0.22972972972972974,0.5,0.2702702702702703,0.22874139130252383,0.4322189470454566,0.3390396616520196,0.0009883384272059148,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,60,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.3406678159325866,0.3683015313295433,0.2910306527378701,0.11387763861286793,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,63,0.35,0.35,0.3,0.28800491475341045,0.3740298102156793,0.33796527503091023,0.06199508524658953,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,74,0.0,0.6,0.4,0.0593699853160235,0.4761589079453314,0.4644711067386451,0.0593699853160235,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,75,0.3125,0.5,0.1875,0.34102474611266875,0.4610584863182821,0.19791676756904913,0.028524746112668753,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,87,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.31761461328157536,0.35476301194839,0.3276223747700346,0.04602175035478828,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
hcc,90,0.0,0.8181818181818182,0.18181818181818182,0.11791144218751683,0.6294981072774811,0.25259045053500206,0.11791144218751683,hard_label,Hard-label aggregation retained for interpretability; soft aggregation is reported as sensitivity.
