seed,fold,row_index,annotation_id,comment_id,label,hard_group,video_id
42,1,1,V5D0002,7428465430732063494,Neutral,arthaldt dok,7428436533981613318
42,1,4,V5D0006,7428626719290475270,Neutral,dok rnc wbeauty dok,7428436533981613318
42,1,7,V5D0009,7211544143301051162,Positive,"percayalah mau kulit kaya seleb2 itu tuh perwatan rajinn pake 1merek ajaa, rajin maskeran dan perawatan ke klinik kecantikann wkwkwkkw",7167562475641048347
42,1,15,V5D0017,7428558389497709319,Positive,emg ga pernah ragu sih sm cream satu ituu🫠,7428436533981613318
42,1,20,V5D0022,7428970528692486918,Neutral,baru tau ada produk skincare maryame,7428436533981613318
42,1,25,V5D0028,7388535550314382086,Neutral,"iya bun tergantung kulit juga,,,",7385065641595653382
42,1,28,V5D0031,7431368899185083144,Neutral,dok tolong review ms glow,7428436533981613318
42,1,38,V5D0041,7428463319042392838,Neutral,kymskiinn dong dok,7428436533981613318
42,1,45,V5D0048,7421841447160529670,Negative,omset menurun niyee,7421104723333483782
42,1,53,V5D0056,7428793818436403973,Neutral,fa glow dok dicek juga soalny bnyak yg pakai cream ini karena harganya juga murah apakah aman @user @user .okypratamaa_kedua,7428436533981613318
42,1,67,V5D0070,7388449877641118469,Positive,"bismillah smga bisa kebeli suatu saat nnti, smga aku mudah rezeki sllu🥰affiliate pemula nih bntu yuuu🙏🥰",7357662447248968966
42,1,69,V5D0072,7597067551230657298,Negative,dan lucunya di terbitkan masi di bulan februari 2025 dan ada yang beli di bulan 3 cek di dr grand🤣,7596239649517899016
42,1,71,V5D0074,7146324370967970587,Positive,ini emng serum terbagus yg prnh gwe pakek,7129446710400601371
42,1,74,V5D0077,7421913700023452421,Negative,"astagfirullah,uda 2 x beli ol nih daviena😭hasilnya nihil.",7421104723333483782
42,1,81,V5D0084,7434795530326197000,Positive,bajunya kocak2 bgt dok😅,7428436533981613318
42,1,84,V5D0087,7428494080936723208,Neutral,dok. tolong krim eliza beauty 🙏🙏🙏🙏,7428436533981613318
42,1,85,V5D0088,7284619372399919878,Neutral,kak kalau pakai toner skintific pink+ serum originote b3 bisa?,7258280563352587526
42,1,87,V5D0090,7225442410770301723,Neutral,pakainya serum dulu apa kremnya ?,7185096421220158747
42,1,89,V5D0092,7381094718857544453,Positive,@user 🧚🏻‍♀️ penasaran gw sm retinol ini,7378347819268082950
42,1,98,V5D0101,7287822127722152710,Neutral,aku juga pake azarine mau coba the originote di kaka bagus ga the originote?,7185096421220158747
42,1,99,V5D0102,7282403867173126917,Neutral,bukannya yang bright b3 itu di pake pagi dan malam ya? trs pas pemakaian pagi itu di layer kah?,7235406683676167430
42,1,100,V5D0103,7586997153370850069,Neutral,1 pipet kanan kiri ci,7586827398084136200
42,1,103,V5D0106,7329504634706526981,Neutral,tolong di jawab bisa tidak retinol the originote + mois nya dari wardah?,7185096421220158747
42,1,106,V5D0109,7265642231578804997,Neutral,skip toner bole ngga??,7242204399928593669
42,1,109,V5D0112,7329005283437478661,Neutral,"nah ini nih yg aku takutkan, soalnya dlu pakai punya wardah vit.c juga jerawatan 😭 jadi takut pngen nyoba yg originote nya",7314309007341063429
42,1,114,V5D0117,7429583930292650757,Positive,"alhamdulillah aman aku pakai juga pakai produk maryame dri tahun 2023,sampai sekarang nh🙏🏻🙏🏻",7428436533981613318
42,1,118,V5D0122,7586861179604943624,Neutral,ngilangi bekas jerat yg item2 pake apa ci?? fw: cetaphil ampul pink+serum niacinamide dr ordinary moise:pake minimalis,7586827398084136200
42,1,120,V5D0124,7422276782764147461,Negative,mungkin lain org lain juga y kn kata dokter kulit ad kandungan yg ga cocok di kulit muka saya tp untuk org lain bisa jdi ccok,7421835937988070662
42,1,128,V5D0132,7363606454690038533,Neutral,"teh, buat kulit normal bagus pake yg mana,yang bisa buat cerah",7363584993148357894
42,1,136,V5D0141,7389488816266887942,Neutral,aman enggk buatt busuii,7376604456818920709
42,1,145,V5D0150,7428464044477432582,Negative,"bogota dong tolong, muka gw ancur parah setelah brenti pake produknya",7428436533981613318
42,1,153,V5D0158,7388919329192100614,Neutral,isi nya msi bnyk?,7378347819268082950
42,1,154,V5D0159,7449888684188992263,Positive,pinjem seratus bajunya😭😭😭,7428436533981613318
42,1,155,V5D0160,7224547619275162395,Neutral,kak klw untuk membuat muka glowing make yg mna yah 😁,7194330759329631514
42,1,158,V5D0163,7422345438684529414,Neutral,prettttt....drakor aja setelah tau ngibul,7421104723333483782
42,1,159,V5D0164,7428925775191982854,Neutral,ka spil bg skincare,7428436533981613318
42,1,161,V5D0166,7462280135233471239,Neutral,150k++,7429265515434036485
42,1,177,V5D0184,7223734856881111834,Positive,udah bisa blm kak? saya udh bisa ini😭,7222981366173011226
42,1,196,V5D0204,7430828021533639429,Neutral,coba tes kedas beauty @user .okypratamaa_kedua apakah amaaaaaaaaan.??,7428436533981613318
42,1,202,V5D0210,7419238366283645701,Negative,tp kok dimuka lama nyerap nya,7418514646698642693
42,1,208,V5D0216,7421245299434750725,Negative,menyesal karna salah❎ menyesal karna ketahuan ✅,7421104723333483782
42,1,209,V5D0217,7398124758925361925,Neutral,serum acne dan darkspot bisa d pake barengan ga untuk malam ka🩷,7314309007341063429
42,1,212,V5D0221,7439315101640901383,Neutral,dok coba cek skincare shinesskin,7428436533981613318
42,1,224,V5D0234,7422111892829602566,Negative,"q merasa d tipu mbk,hrga mhall poll teryata 😁😁😁😁😁",7421104723333483782
42,1,233,V5D0244,7421426517073691397,Positive,iyh,7421104723333483782
42,1,241,V5D0252,7587057407076057876,Neutral,"ampoule pink manaaa??? tambahin ampoule pink pakai pagi malam setiap hari bareng soothing cream ada dietalase aku yaaa, untuk penjelasan lengkapnya kmu bisa tonton vt atau pantengin live aku bsk siang",7586827398084136200
42,1,250,V5D0263,7404058814818272005,Neutral,satu paket brpa?,7385065641595653382
42,1,252,V5D0265,7443037215536235282,Neutral,kk aku uda chat di konfir ya kak,7418812570569641221
42,1,256,V5D0269,7314544137566978822,Neutral,"aku beningg, mmg ada yg kuning yaa? bukannya kalo kuning itu udah teroksidasii 😭",7314309007341063429
