product_category,video_url,video_id,comment_type,comment_id,parent_comment_id,parent_user,reply_count,expected_reply_count,actual_reply_scraped,thread_level,user_id,username,text,mentions,hashtags,timestamp,source_file,username_norm,is_injected,comment_text_original,comment_text_model,probability_negative,probability_neutral,probability_positive,predicted_sentiment,max_probability,threshold,no_text,abstained,final_sentiment_label,sentiment_status,model_name,selected_candidate,model_hash,config_hash,locked_test_validation_status,inference_timestamp_utc,dataset_provenance,is_hcc_member,is_hcc,hcc_id,community,primary_brand,brand_label_auto,brand_combo,brand_confidence,product_brand_context,is_hcc_member_bool
originote_niacinamide,https://www.tiktok.com/@theoriginote/video/7222981366173011226?_r=1&_t=ZS-977UDn9SaZu,7222981366173011226,reply,INJ000001,7223274115280356122,reviewjujur_cp7303,0,0,0,1,9976547523505376470,beautyvibe_rr9395,"aku juga user originote nih, hasilnya keliatan pelan2 tp konsisten",[],[],2023-04-17T13:14:21+00:00,originote_niacinamide_video_12.csv,beautyvibe_rr9395,True,"aku juga user originote nih, hasilnya keliatan pelan2 tp konsisten","aku juga user originote nih, hasilnya keliatan pelan2 tp konsisten",0.42534185318631085,0.18331913685374313,0.391339009959946,Negative,0.42534185318631085,0.42,False,False,Negative,Evaluable,model_C_human_supervised,ensemble_top2_human_supervised_development_only,477bfe11ebc3463eeff5a5fb8359f86022d719c8bea49dfdad0460fa0c5e2ccc,3aacda361f4143e0fca3df022d494bf0c6f128e6f04f0992f31e894b99fbe00a,FINAL_MODEL_VALIDATED,2026-07-23T04:19:56.467099+00:00,dataset.csv,False,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,The Originote,False
azarine_retinol,https://www.tiktok.com/@skinby_sindy/video/7586827398084136200?_r=1&_t=ZS-9706sCoYVV3,7586827398084136200,reply,INJ000002,7586861179604943624,reviewjujur_cp7303,0,0,0,1,9976547523505376470,beautyvibe_rr9395,"wah kebetulan lg cari review azarine, makasih infonya kak beneran",[],[],2025-12-23T00:13:22+00:00,azarine_retinol_video_2.csv,beautyvibe_rr9395,True,"wah kebetulan lg cari review azarine, makasih infonya kak beneran","wah kebetulan lg cari review azarine, makasih infonya kak beneran",0.07764947338615169,0.3502670078868907,0.5720835187269576,Positive,0.5720835187269576,0.42,False,False,Positive,Evaluable,model_C_human_supervised,ensemble_top2_human_supervised_development_only,477bfe11ebc3463eeff5a5fb8359f86022d719c8bea49dfdad0460fa0c5e2ccc,3aacda361f4143e0fca3df022d494bf0c6f128e6f04f0992f31e894b99fbe00a,FINAL_MODEL_VALIDATED,2026-07-23T04:19:56.467099+00:00,dataset.csv,False,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Azarine,False
maryame_niacinamide,https://www.tiktok.com/@susiyuliani30/video/7182401543491128602?_r=1&_t=ZS-977UoX2jLJ2,7182401543491128602,reply,INJ000003,7197197037262979867,beauty_ct3636,0,0,0,1,9268612868723140303,cantik_rr7263,auto cus checkout maryame abis liat video ini,[],[],2022-12-29T04:19:06+00:00,maryame_niacinamide_video_18.csv,cantik_rr7263,True,auto cus checkout maryame abis liat video ini,auto cus checkout maryame abis liat video ini,0.38438896029672587,0.284378430866485,0.3312326088367892,Negative,0.38438896029672587,0.42,False,True,Uncertain,Uncertain,model_C_human_supervised,ensemble_top2_human_supervised_development_only,477bfe11ebc3463eeff5a5fb8359f86022d719c8bea49dfdad0460fa0c5e2ccc,3aacda361f4143e0fca3df022d494bf0c6f128e6f04f0992f31e894b99fbe00a,FINAL_MODEL_VALIDATED,2026-07-23T04:19:56.467099+00:00,dataset.csv,False,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Maryame,False
daviena_retinol,https://www.tiktok.com/@irnaayu27/video/7378347819268082950?_r=1&_t=ZS-977bzKce12X,7378347819268082950,reply,INJ000004,7408213422007206661,beauty_ct3636,0,0,0,1,9268612868723140303,cantik_rr7263,dulu ragu coba daviena eh taunya cocok bgt di aku beneran,[],[],2024-06-09T04:29:41+00:00,daviena_retinol_video_11.csv,cantik_rr7263,True,dulu ragu coba daviena eh taunya cocok bgt di aku beneran,dulu ragu coba daviena eh taunya cocok bgt di aku beneran,0.24652418630499418,0.08403673557760505,0.6694390781174009,Positive,0.6694390781174009,0.42,False,False,Positive,Evaluable,model_C_human_supervised,ensemble_top2_human_supervised_development_only,477bfe11ebc3463eeff5a5fb8359f86022d719c8bea49dfdad0460fa0c5e2ccc,3aacda361f4143e0fca3df022d494bf0c6f128e6f04f0992f31e894b99fbe00a,FINAL_MODEL_VALIDATED,2026-07-23T04:19:56.467099+00:00,dataset.csv,False,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Daviena,False
daviena_retinol,https://www.tiktok.com/@adiliarizqa/video/7291631421565832453?_r=1&_t=ZS-977cAvZAxaj,7291631421565832453,reply,INJ000005,7303841578602758913,cantik_ct1012,0,0,0,1,9674766750599371835,racun_rr3810,"kak izin nanya, daviena ini aman ga buat kulit sensitif? beneran",[],[],2023-10-19T12:21:09+00:00,daviena_retinol_video_14.csv,racun_rr3810,True,"kak izin nanya, daviena ini aman ga buat kulit sensitif? beneran","kak izin nanya, daviena ini aman ga buat kulit sensitif? beneran",0.04535491677859885,0.8430869636548172,0.11155811956658399,Neutral,0.8430869636548172,0.42,False,False,Neutral,Evaluable,model_C_human_supervised,ensemble_top2_human_supervised_development_only,477bfe11ebc3463eeff5a5fb8359f86022d719c8bea49dfdad0460fa0c5e2ccc,3aacda361f4143e0fca3df022d494bf0c6f128e6f04f0992f31e894b99fbe00a,FINAL_MODEL_VALIDATED,2026-07-23T04:19:56.467099+00:00,dataset.csv,False,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Daviena,False
maryame_niacinamide,https://www.tiktok.com/@dr.okypratamaa_kedua/video/7428436533981613318?_r=1&_t=ZS-977UewhE3Oh,7428436533981613318,reply,INJ000006,7428745673682043653,cantik_ct1012,0,0,0,1,9674766750599371835,racun_rr3810,sama nih aku juga ngerasain efeknya pas pake maryame beneran,[],[],2024-10-22T03:49:46+00:00,maryame_niacinamide_video_11.csv,racun_rr3810,True,sama nih aku juga ngerasain efeknya pas pake maryame beneran,sama nih aku juga ngerasain efeknya pas pake maryame beneran,0.2468579502373785,0.19544303955865755,0.557699010203964,Positive,0.557699010203964,0.42,False,False,Positive,Evaluable,model_C_human_supervised,ensemble_top2_human_supervised_development_only,477bfe11ebc3463eeff5a5fb8359f86022d719c8bea49dfdad0460fa0c5e2ccc,3aacda361f4143e0fca3df022d494bf0c6f128e6f04f0992f31e894b99fbe00a,FINAL_MODEL_VALIDATED,2026-07-23T04:19:56.467099+00:00,dataset.csv,False,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Maryame,False
maryame_niacinamide,https://www.tiktok.com/@maryame.official/video/7421364555957275910?_r=1&_t=ZS-977UipTvK8V,7421364555957275910,reply,INJ000007,7424352197507040006,skinclub_ct2318,0,0,0,1,9704548798158858682,dearskin_rr9259,"follow tips di video, maryame emang the best buat kulit kusam 😍",[],[],2024-10-03T03:33:51+00:00,maryame_niacinamide_video_15.csv,dearskin_rr9259,True,"follow tips di video, maryame emang the best buat kulit kusam 😍","follow tips di video, maryame emang the best buat kulit kusam 😍",0.10196766034982903,0.6299517755835908,0.2680805640665801,Neutral,0.6299517755835908,0.42,False,False,Neutral,Evaluable,model_C_human_supervised,ensemble_top2_human_supervised_development_only,477bfe11ebc3463eeff5a5fb8359f86022d719c8bea49dfdad0460fa0c5e2ccc,3aacda361f4143e0fca3df022d494bf0c6f128e6f04f0992f31e894b99fbe00a,FINAL_MODEL_VALIDATED,2026-07-23T04:19:56.467099+00:00,dataset.csv,False,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Maryame,False
maryame_niacinamide,https://www.tiktok.com/@nooraabeautycreator/video/7430007251076697350?_r=1&_t=ZS-9702Cpl4Gl0,7430007251076697350,reply,INJ000008,7430210573391004423,skinclub_ct2318,0,0,0,1,9704548798158858682,dearskin_rr9259,"setuju bgt sama yg di video, maryame emang beda dari yg lain btw",[],[],2024-10-26T10:18:03+00:00,maryame_niacinamide_video_4.csv,dearskin_rr9259,True,"setuju bgt sama yg di video, maryame emang beda dari yg lain btw","setuju bgt sama yg di video, maryame emang beda dari yg lain btw",0.15332753739556756,0.15825640863597482,0.6884160539684576,Positive,0.6884160539684576,0.42,False,False,Positive,Evaluable,model_C_human_supervised,ensemble_top2_human_supervised_development_only,477bfe11ebc3463eeff5a5fb8359f86022d719c8bea49dfdad0460fa0c5e2ccc,3aacda361f4143e0fca3df022d494bf0c6f128e6f04f0992f31e894b99fbe00a,FINAL_MODEL_VALIDATED,2026-07-23T04:19:56.467099+00:00,dataset.csv,False,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Maryame,False
davina_skincare,https://www.tiktok.com/@melvinahusyanti96/photo/7596239649517899016?_r=1&_t=ZS-978hb5OS1Tz,7596239649517899016,reply,INJ000009,7596249224187527944,cantik_cp1861,0,0,0,1,9748515144284743185,beautyaddict_rr5374,sama nih aku juga ngerasain efeknya pas pake davina ✨,[],[],2026-01-17T08:14:28+00:00,davina_skincare_video_1.csv,beautyaddict_rr5374,True,sama nih aku juga ngerasain efeknya pas pake davina ✨,sama nih aku juga ngerasain efeknya pas pake davina ✨,0.43470722808763235,0.23754041736111886,0.3277523545512488,Negative,0.43470722808763235,0.42,False,False,Negative,Evaluable,model_C_human_supervised,ensemble_top2_human_supervised_development_only,477bfe11ebc3463eeff5a5fb8359f86022d719c8bea49dfdad0460fa0c5e2ccc,3aacda361f4143e0fca3df022d494bf0c6f128e6f04f0992f31e894b99fbe00a,FINAL_MODEL_VALIDATED,2026-07-23T04:19:56.467099+00:00,dataset.csv,False,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Daviena,False
originote_niacinamide,https://www.tiktok.com/@dicannnns/video/7194330759329631514?_r=1&_t=ZS-9701cuVmRfz,7194330759329631514,reply,INJ000010,7228516078778499867,cantik_cp1861,0,0,0,1,9748515144284743185,beautyaddict_rr5374,baru order originote semoga cocok kaya testimoni2 disini 😊,[],[],2023-02-17T07:11:00+00:00,originote_niacinamide_video_6.csv,beautyaddict_rr5374,True,baru order originote semoga cocok kaya testimoni2 disini 😊,baru order originote semoga cocok kaya testimoni2 disini 😊,0.2015192001971151,0.6664707208460825,0.13201007895680247,Neutral,0.6664707208460825,0.42,False,False,Neutral,Evaluable,model_C_human_supervised,ensemble_top2_human_supervised_development_only,477bfe11ebc3463eeff5a5fb8359f86022d719c8bea49dfdad0460fa0c5e2ccc,3aacda361f4143e0fca3df022d494bf0c6f128e6f04f0992f31e894b99fbe00a,FINAL_MODEL_VALIDATED,2026-07-23T04:19:56.467099+00:00,dataset.csv,False,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,The Originote,False
